  1002   304    -88.864913    -87.481264      0.238066      0.917926      1.730080      8.278018      0.611084    128.16404
  1007   305    -87.557424    -88.864913      0.311685      0.823287      2.049674      6.657132      0.653873     93.73437
  1011   306    -87.693022    -87.557424      0.291011      0.706369      1.954388      5.085919      0.610356     88.74855
  1012   307    -87.573467    -87.693022      0.231864      0.689297      1.705549      4.889865      0.510294    104.27398
  1018   308    -89.430333    -87.573467      0.213058      0.687013      1.633270      4.864221      0.355795    107.75409
  1024   309    -91.057585    -89.430333      0.153866      0.622967      1.425168      4.197269      0.417742    133.44629
  1026   310    -93.056835    -91.057585      0.213573      0.919959      1.635206      8.316848      0.238350    116.51433
  1028   311    -91.812889    -93.056835      0.209340      1.104977      1.619346     12.734344      0.296734    125.52313
  1029   312    -91.785361    -91.812889      0.192233      1.083476      1.556801     12.119255      0.436710    144.49876
  1035   313    -89.322231    -91.785361      0.259123      0.799489      1.816029      6.302154      0.342568     93.02648
  1037   314    -88.377711    -89.322231      0.202028      0.640107      1.592313      4.366231      0.465843    112.46851
  1041   315    -87.976648    -88.377711      0.255990      0.972462      1.802978      9.385594      0.556296    118.58541
  1046   316    -88.370221    -87.976648      0.277459      0.728072      1.894344      5.346526      0.439990     86.04869
  1048   317    -89.081345    -88.370221      0.244998      0.433977      1.757916      2.716298      0.538460     88.18519
  1050   318    -89.298492    -89.081345      0.242368      0.412765      1.747302      2.586811      0.603905     90.08339
  1057   319    -88.399225    -89.298492      0.213422      0.639628      1.634638      4.361425      0.666783    118.36625
  1064   320    -90.618017    -88.399225      0.174025      0.563385      1.492881      3.659194      0.719607    134.08378
  1065   321    -87.870817    -90.618017      0.214662      0.652008      1.639312      4.487541      0.510670    109.32475
  1081   322    -89.387681    -87.870817      0.194562      0.489459      1.565172      3.086447      0.694811    117.19907
  1085   323    -88.886797    -89.387681      0.280252      0.576553      1.906567      3.771836      0.806755     96.41617
  1096   324    -89.813887    -88.886797      0.313825      0.641610      2.059799      4.381373      0.911174     99.84787
  1103   325    -90.073568    -89.813887      0.284768      0.496842      1.926496      3.139366      0.870557     92.33726
  1111   326    -90.698812    -90.073568      0.209107      0.335662      1.618477      2.166016      0.692716    103.17138
  1113   327    -89.448077    -90.698812      0.208842      0.627857      1.617490      4.244799      0.745704    125.77639
  1115   328    -90.360076    -89.448077      0.225032      0.793383      1.678928      6.214164      0.741816    136.57416
  1118   329    -90.570713    -90.360076      0.190990      0.467857      1.552350      2.936685      0.339771    110.50155
  1127   330    -90.962828    -90.570713      0.170757      0.831777      1.481688      6.788545      0.508889    142.45732
  1128   331    -88.316877    -90.962828      0.203386      0.604097      1.597299      4.018807      0.614508    116.55426
  1130   332    -89.213599    -88.316877      0.255507      0.456233      1.800972      2.859125      0.693871     90.55950
  1131   333    -89.264077    -89.213599      0.308300      0.783879      2.033760      6.079662      0.841488    111.86751
  1133   334    -89.866677    -89.264077      0.391574      0.838430      2.463622      6.893353      0.772055     80.34244
  1136   335    -88.973509    -89.866677      0.355733      0.936446      2.268467      8.638650      0.788323    105.61972
