 4550.7180  3.310  0.061
 4551.7478  3.212  0.059
 4553.7470  3.031  0.056
 4556.7118  3.060  0.057
 4557.7555  2.948  0.055
 4558.6902  2.854  0.053
 4559.8700  2.813  0.052
 4560.6570  2.825  0.052
 4561.6791  2.894  0.054
 4562.7017  2.784  0.052
 4564.7136  3.045  0.056
 4566.7181  2.999  0.055
 4567.7170  2.746  0.051
 4568.7177  3.006  0.056
 4569.7258  2.981  0.055
 4570.7526  3.247  0.060
 4572.7551  3.220  0.060
 4573.7215  3.211  0.059
 4575.6875  3.258  0.060
 4581.7317  3.425  0.063
 4582.8300  3.947  0.073
 4583.8341  3.482  0.064
 4584.7895  3.322  0.061
 4585.8605  3.784  0.070
 4587.7764  3.611  0.067
 4588.7821  3.619  0.067
 4589.7693  3.900  0.072
 4590.7677  3.940  0.073
 4591.7584  3.886  0.072
 4592.7618  3.860  0.071
 4593.7636  3.724  0.069
 4594.8047  4.288  0.079
 4595.8015  3.874  0.072
 4596.8003  4.046  0.075
 4597.8005  4.001  0.074
 4598.8010  3.478  0.064
 4600.7205  3.600  0.067
 4601.7713  3.768  0.070
 4602.8002  3.905  0.072
 4603.8428  3.690  0.068
 4604.8036  3.722  0.069
 4605.7268  3.474  0.064
 4607.7301  3.173  0.059
