     509.0   8.98    0.36
     512.0   9.73    0.73
     517.0   9.71    0.39
     524.0   9.79    0.39
     525.0  10.11    0.40
     528.0  10.56    0.42
     533.0  10.14    0.41
     534.0  10.55    0.42
     535.0  10.16    0.41
     539.0  10.74    0.38
     543.0   9.88    0.40
     549.0  11.48    0.86
     556.0   9.08    0.32
     560.0   9.59    0.34
     561.0   9.69    0.39
     564.0   9.31    0.37
     565.0   9.36    0.37
     567.0   9.31    0.37
     568.0   9.09    0.36
     570.0   8.48    0.34
     571.0   9.16    0.37
     572.0   8.48    0.34
     573.0   8.54    0.23
     574.0   8.74    0.31
     575.0   8.05    0.60
     576.0   7.94    0.60
     582.0   8.15    0.33
     583.0   7.98    0.48
     584.0   8.59    0.34
     587.0   8.79    0.31
     589.0   9.12    0.32
     590.0   9.26    0.37
     591.0   9.26    0.37
     592.0   9.31    0.25
     593.0   9.16    0.26
     594.0   8.92    0.31
     597.0  10.20    0.76
     598.0   9.94    0.40
     599.0   9.88    0.40
     600.0   9.84    0.28
     601.0  10.08    0.76
     606.0  10.60    0.37
     613.0  10.80    0.43
     614.0  10.99    0.44
     615.0  10.56    0.42
     617.0  11.23    0.45
     618.0  11.43    0.32
     620.0  11.55    0.38
     621.0  11.66    0.41
     622.0  11.56    0.69
     623.0  11.70    0.47
     624.0  11.70    0.47
     626.0  11.60    0.46
     627.0  11.87    0.34
     628.0  11.83    0.41
     629.0  11.73    0.47
     631.0  12.48    0.53
     632.0  11.53    0.69
     642.0  12.22    0.49
     643.0  11.58    0.33
     644.0  11.77    0.31
     645.0  10.91    0.44
     648.0  11.88    0.89
     649.0  11.48    0.38
     650.0  11.49    0.46
     652.0  11.07    0.83
     653.0  11.10    0.44
     654.0  11.09    0.31
     655.0  11.16    0.37
     656.0  11.15    0.39
     657.0  11.05    0.44
     658.0  11.63    0.40
     660.0  10.11    0.40
     661.0  11.35    0.45
     663.0  11.30    0.85
     664.0  10.72    0.80
     665.0  10.75    0.45
     666.0  10.43    0.78
     668.0  10.66    0.80
     673.0   9.99    0.40
     674.0  10.09    0.40
     678.0   9.79    0.28
     679.0   9.62    0.38
     680.0   9.78    0.39
     681.0   9.62    0.38
     682.0   9.68    0.39
     683.0   9.83    0.39
     684.0   9.36    0.38
     685.0   9.52    0.38
     686.0   9.26    0.37
     687.0   9.65    0.58
     699.0  10.05    0.86
     700.0  10.50    0.89
     701.0  10.75    0.91
     703.0   9.26    0.37
     705.0   8.69    0.35
     707.0   9.88    0.40
     708.0   9.57    0.38
     709.0   9.57    0.38
     710.0   9.73    0.34
     711.0  10.21    0.41
     713.0   9.97    0.75
     715.0   9.16    0.37
     716.0   9.81    0.39
     719.0  10.16    0.41
     725.0   9.93    0.40
     728.0   9.06    0.77
     730.0  10.10    0.86
     736.0   7.18    0.50
     742.0   5.78    0.35
     746.0   7.36    0.55
     748.0   6.60    0.40
     749.0   7.47    0.56
     754.0   7.01    0.53
     757.0   8.11    0.61
     758.0   9.97    0.75
     759.0   9.04    0.68
     765.0   7.53    0.56
     766.0   8.51    0.31
     767.0   8.55    0.30
     777.0   8.98    0.36
     778.0   9.70    0.27
     779.0   9.74    0.39
     797.0  10.48    0.42
     809.0  10.09    0.40
